法国,重视,海上阅兵
它,具有,重要含义
法国军方,视为,重要契机
演习,增强,两军之间的互动能力
俄罗斯与美国等西方国家的关系,陷入,低迷
俄,有,必要
人民解放军地空导弹部队,装备,地空导弹营
俄方舰艇编队,抵达,上海吴淞军港码头
中国海军和平方舟医院船官兵,举行,联合应急医学救援演练
南部临时部队(联黎部队),处于,高度戒备状态
以色列,空袭,叙利亚
王斯,是,环球时报特约记者
盖茨,是,美国国防部长
罗伯特?盖茨,召开,记者会
罗伯特,是,现任太平洋舰队司令、海军上将
罗伯特?韦兰德,接替,基廷
朝鲜祖国和平统一委员会,发表,声明
演习期间,保证,韩国民航飞机的安全
苏岩礁,是,我
内尔,是,加拿大驻菲律宾大使
中国海军北海、东海和南海三大舰队,参加,演习
太平洋,是,西
中方,部署,防空导弹
中方,建设,“人工岛”
其他国家,使用,飞机跑道等设施
中方,拥有,主权
奥巴马,是,美国总统
奥巴马前脚,离开,亚洲
中俄,放出,联合军演的消息
中俄,借,军演
Add_,接到,“波罗申科总统的来电”
AdPos("7004636");扎,接到,“波罗申科总统的来电”
波尔托拉克,是,乌克兰防长
波尔托拉克,接到,“波罗申科总统的来电”
电话中“,命令,他
路透社,为,题
习近平,是,中国主席
习近平,发表,讲话
中国,削减,30万军队
日本《读卖新闻》,引述,证词
坎贝尔,是,美国负责东亚与太平洋事务的助理国务卿
尖阁诸岛,属于,《美日安保条约》第五条的适用范围
美国,提供,高性能的U2侦察机
台湾,提供,飞行员和场站设施
U2,拍到,解放军洲际导弹基地
日本自卫队,购买,早期警戒侦察机E-2D
日本自卫队,购买,政府专用机
美日两国政府,制定,共同防卫计划
中国海军军舰,使用,武力
这份防卫计划,作为,美日共同的行动指南
吕晓红,是,中国国际广播电台驻美国记者
希拉里,是,美国国务卿
